食物,热量,链接
面条（生），又叫面,热量：301 大卡(每100克),http://www.boohee.com/shiwu/miantiao_junzhi
面条（煮），又叫面,热量：110 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
籼米粉，又叫米线、米粉、粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
红薯，又叫地瓜、番薯、甘薯,热量：90 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
嘉顿 生命面包 450g,热量：284 大卡(每100克),http://www.boohee.com/shiwu/shengmingmaibaopaiquanmaiqiepianmianbao
包子（三鲜馅）,热量：223 大卡(每100克),http://www.boohee.com/shiwu/baozi_sanxianxian
馒头,热量：223 大卡(每100克),http://www.boohee.com/shiwu/mantou_junzhi
油饼,热量：403 大卡(每100克),http://www.boohee.com/shiwu/youbing
单层汉堡（夹肉饼，加调料酱和蔬菜）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/hanbaobao_putongxing_jiaroubing_jiadiaoliaojiangheshucai
紫薯，又叫甘薯（紫色）,热量：106 大卡(每100克),http://www.boohee.com/shiwu/zishu
米粉（干），又叫粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/mifen
黄油面包,热量：331 大卡(每100克),http://www.boohee.com/shiwu/huangyoumianbao
方便面，又叫泡面,热量：473 大卡(每100克),http://www.boohee.com/shiwu/fangbianmian
果料面包，又叫面包、水果面包,热量：279 大卡(每100克),http://www.boohee.com/shiwu/guoliaomianbao
蒙牛 高钙牛奶,热量：59 大卡(每100毫升),http://www.boohee.com/shiwu/mengniugaogainiunai
牛奶（脱脂），又叫脱脂奶，脱脂牛奶，牛乳,热量：33 大卡(每100克),http://www.boohee.com/shiwu/niuru_tuozhi_pamalate
光明 e+益生菌酸牛奶（原味）220ml （袋装）,热量：45 大卡(每100克),http://www.boohee.com/shiwu/guangmingeyishengjunsuanniunai_yuanwei
