食物名称,热量
"
水面筋（泡发后），又叫生麸、子面筋
",热量：142 大卡(每100克)
"
麦当劳 吉士蛋麦满分
",热量：199 大卡(每100克)
"
麦当劳 火腿扒麦满分
",热量：259 大卡(每100克)
"
超群云吞
",热量：181 大卡(每100克)
"
麦当劳 大脆鸡扒麦满分
",热量：258 大卡(每100克)
"
冬菜虾仁馄饨
",热量：180 大卡(每100克)
",热量：42 大卡(每100毫升)
"
伊利高钙奶酪
",热量：287 大卡(每100克)
"
牛奶（强化锌、钙），又叫牛乳（强化锌、钙）
",热量：60 大卡(每100克)
"
百吉福 减脂芝士片
",热量：249 大卡(每100克)
 黑豆醋参片【清畅】
",热量：388 大卡(每100克)
"
NATURE VALLEY 蛋白质能量棒
",热量：475 大卡(每100克)
"
康恩贝 维生素C泡腾片
",热量：338 大卡(每100克)

芹菜（西芹），又叫西洋芹菜、美芹
",热量：17 大卡(每100克)
"
番石榴，又叫芭乐
",热量：53 大卡(每100克)
"
平菇，又叫侧耳、耳菇、青蘑、北风菌、蚝菌、...
",热量：17 大卡(每100克)
"
苹果梨
",热量：53 大卡(每100克)
"
娃娃菜
",热量：13 大卡(每100克)
"
白粉桃
",热量：26 大卡(每100克)
"
甜椒，又叫青柿子椒、菜椒、翠椒、海椒、柿子...
",热量：18 大卡(每100克)
