序号,电影名称,评分,推荐语,网址链接
1,肖申克的救赎,9.6,希望让人自由。,https://movie.douban.com/subject/1292052/
2,霸王别姬,9.6,风华绝代。,https://movie.douban.com/subject/1291546/
3,这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
4,阿甘正传,9.4,一部美国近现代史。,https://movie.douban.com/subject/1292720/
5,美丽人生,9.5,最美的谎言。,https://movie.douban.com/subject/1292063/
6,泰坦尼克号,9.3,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
7,千与千寻,9.3,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
8,辛德勒的名单,9.5,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
9,盗梦空间,9.3,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,机器人总动员,9.3,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
11,忠犬八公的故事,9.3,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
12,三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
13,海上钢琴师,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
14,放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
15,大话西游之大圣娶亲,9.2,一生所爱。,https://movie.douban.com/subject/1292213/
16,楚门的世界,9.2,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
17,龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
18,星际穿越,9.2,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
19,教父,9.2,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
20,熔炉,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
21,无间道,9.1,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
22,当幸福来敲门,9.0,平民励志片。 ,https://movie.douban.com/subject/1849031/
23,疯狂动物城,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
24,触不可及,9.2,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
25,怦然心动,9.0,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
26,乱世佳人,9.2,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
27,蝙蝠侠：黑暗骑士,9.1,无尽的黑暗。,https://movie.douban.com/subject/1851857/
28,活着,9.2,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
29,天堂电影院,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
30,少年派的奇幻漂流,9.0,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
31,鬼子来了,9.2,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
32,十二怒汉,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
33,指环王3：王者无敌,9.1,史诗的终章。,https://movie.douban.com/subject/1291552/
34,控方证人,9.6,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
35,天空之城,9.1,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
36,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
37,飞屋环游记,8.9,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
38,大话西游之月光宝盒,8.9,旷古烁今。,https://movie.douban.com/subject/1299398/
39,摔跤吧！爸爸,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
40,罗马假日,9.0,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
41,哈尔的移动城堡,9.0,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
42,窃听风暴,9.1,别样人生。,https://movie.douban.com/subject/1900841/
43,闻香识女人,9.0,史上最美的探戈。,https://movie.douban.com/subject/1298624/
44,辩护人,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
